2025-06-21 11:47:14,305 - conftest.py:[52] - [INFO] - --- Test run started. Logging to F:\TY_New\PythonRMG\HarshaFW_Python\logs\logs_21_06_2025_11_47_14\log_21_06_2025_11_47_14.log ---
2025-06-21 11:47:14,306 - base_test.py:[33] - [INFO] - --- Starting test: test_select_date_with_arrows ---
2025-06-21 11:47:14,308 - base_test.py:[69] - [INFO] - Setting up 'chrome' browser (Headless: False)
2025-06-21 11:47:14,309 - base_test.py:[85] - [INFO] - Using dedicated Chrome profile: F:\TY_New\PythonRMG\HarshaFW_Python\automation_chrome_profile
2025-06-21 11:47:15,701 - base_test.py:[107] - [INFO] - Chrome WebDriver initialized with dedicated profile and popup suppression.
2025-06-21 11:47:17,837 - base_page.py:[99] - [INFO] - Successfully navigated to: https://testautomationpractice.blogspot.com/
2025-06-21 11:47:17,838 - date_picker_page.py:[42] - [INFO] - Attempting to select date using arrows: 15-August-2026
2025-06-21 11:47:17,855 - base_page.py:[127] - [INFO] - Scrolled to element: ('id', 'datepicker')
2025-06-21 11:47:17,926 - base_page.py:[36] - [INFO] - Successfully clicked element: ('id', 'datepicker')
2025-06-21 11:47:17,938 - base_page.py:[113] - [INFO] - Element found: ('id', 'ui-datepicker-div')
2025-06-21 11:47:17,963 - base_page.py:[81] - [INFO] - Retrieved text 'June' from element: ('class name', 'ui-datepicker-month')
2025-06-21 11:47:17,980 - base_page.py:[81] - [INFO] - Retrieved text '2025' from element: ('class name', 'ui-datepicker-year')
2025-06-21 11:47:18,030 - base_page.py:[36] - [INFO] - Successfully clicked element: ('xpath', "//a[@data-handler='next']")
2025-06-21 11:47:18,265 - base_page.py:[81] - [INFO] - Retrieved text 'July' from element: ('class name', 'ui-datepicker-month')
2025-06-21 11:47:18,277 - base_page.py:[81] - [INFO] - Retrieved text '2025' from element: ('class name', 'ui-datepicker-year')
2025-06-21 11:47:18,320 - base_page.py:[36] - [INFO] - Successfully clicked element: ('xpath', "//a[@data-handler='next']")
2025-06-21 11:47:18,550 - base_page.py:[81] - [INFO] - Retrieved text 'August' from element: ('class name', 'ui-datepicker-month')
2025-06-21 11:47:18,562 - base_page.py:[81] - [INFO] - Retrieved text '2025' from element: ('class name', 'ui-datepicker-year')
2025-06-21 11:47:18,600 - base_page.py:[36] - [INFO] - Successfully clicked element: ('xpath', "//a[@data-handler='next']")
2025-06-21 11:47:18,843 - base_page.py:[81] - [INFO] - Retrieved text 'September' from element: ('class name', 'ui-datepicker-month')
2025-06-21 11:47:18,855 - base_page.py:[81] - [INFO] - Retrieved text '2025' from element: ('class name', 'ui-datepicker-year')
2025-06-21 11:47:18,900 - base_page.py:[36] - [INFO] - Successfully clicked element: ('xpath', "//a[@data-handler='next']")
2025-06-21 11:47:19,139 - base_page.py:[81] - [INFO] - Retrieved text 'October' from element: ('class name', 'ui-datepicker-month')
2025-06-21 11:47:19,152 - base_page.py:[81] - [INFO] - Retrieved text '2025' from element: ('class name', 'ui-datepicker-year')
2025-06-21 11:47:19,190 - base_page.py:[36] - [INFO] - Successfully clicked element: ('xpath', "//a[@data-handler='next']")
2025-06-21 11:47:19,419 - base_page.py:[81] - [INFO] - Retrieved text 'November' from element: ('class name', 'ui-datepicker-month')
2025-06-21 11:47:19,431 - base_page.py:[81] - [INFO] - Retrieved text '2025' from element: ('class name', 'ui-datepicker-year')
2025-06-21 11:47:19,469 - base_page.py:[36] - [INFO] - Successfully clicked element: ('xpath', "//a[@data-handler='next']")
2025-06-21 11:47:19,691 - base_page.py:[81] - [INFO] - Retrieved text 'December' from element: ('class name', 'ui-datepicker-month')
2025-06-21 11:47:19,703 - base_page.py:[81] - [INFO] - Retrieved text '2025' from element: ('class name', 'ui-datepicker-year')
2025-06-21 11:47:19,752 - base_page.py:[36] - [INFO] - Successfully clicked element: ('xpath', "//a[@data-handler='next']")
2025-06-21 11:47:19,973 - base_page.py:[81] - [INFO] - Retrieved text 'January' from element: ('class name', 'ui-datepicker-month')
2025-06-21 11:47:19,987 - base_page.py:[81] - [INFO] - Retrieved text '2026' from element: ('class name', 'ui-datepicker-year')
2025-06-21 11:47:20,028 - base_page.py:[36] - [INFO] - Successfully clicked element: ('xpath', "//a[@data-handler='next']")
2025-06-21 11:47:20,256 - base_page.py:[81] - [INFO] - Retrieved text 'February' from element: ('class name', 'ui-datepicker-month')
2025-06-21 11:47:20,269 - base_page.py:[81] - [INFO] - Retrieved text '2026' from element: ('class name', 'ui-datepicker-year')
2025-06-21 11:47:20,308 - base_page.py:[36] - [INFO] - Successfully clicked element: ('xpath', "//a[@data-handler='next']")
2025-06-21 11:47:20,544 - base_page.py:[81] - [INFO] - Retrieved text 'March' from element: ('class name', 'ui-datepicker-month')
2025-06-21 11:47:20,557 - base_page.py:[81] - [INFO] - Retrieved text '2026' from element: ('class name', 'ui-datepicker-year')
2025-06-21 11:47:20,598 - base_page.py:[36] - [INFO] - Successfully clicked element: ('xpath', "//a[@data-handler='next']")
2025-06-21 11:47:20,825 - base_page.py:[81] - [INFO] - Retrieved text 'April' from element: ('class name', 'ui-datepicker-month')
2025-06-21 11:47:20,837 - base_page.py:[81] - [INFO] - Retrieved text '2026' from element: ('class name', 'ui-datepicker-year')
2025-06-21 11:47:20,874 - base_page.py:[36] - [INFO] - Successfully clicked element: ('xpath', "//a[@data-handler='next']")
2025-06-21 11:47:21,116 - base_page.py:[81] - [INFO] - Retrieved text 'May' from element: ('class name', 'ui-datepicker-month')
2025-06-21 11:47:21,128 - base_page.py:[81] - [INFO] - Retrieved text '2026' from element: ('class name', 'ui-datepicker-year')
2025-06-21 11:47:21,165 - base_page.py:[36] - [INFO] - Successfully clicked element: ('xpath', "//a[@data-handler='next']")
2025-06-21 11:47:21,395 - base_page.py:[81] - [INFO] - Retrieved text 'June' from element: ('class name', 'ui-datepicker-month')
2025-06-21 11:47:21,408 - base_page.py:[81] - [INFO] - Retrieved text '2026' from element: ('class name', 'ui-datepicker-year')
2025-06-21 11:47:21,444 - base_page.py:[36] - [INFO] - Successfully clicked element: ('xpath', "//a[@data-handler='next']")
2025-06-21 11:47:21,670 - base_page.py:[81] - [INFO] - Retrieved text 'July' from element: ('class name', 'ui-datepicker-month')
2025-06-21 11:47:21,682 - base_page.py:[81] - [INFO] - Retrieved text '2026' from element: ('class name', 'ui-datepicker-year')
2025-06-21 11:47:21,719 - base_page.py:[36] - [INFO] - Successfully clicked element: ('xpath', "//a[@data-handler='next']")
2025-06-21 11:47:21,959 - base_page.py:[81] - [INFO] - Retrieved text 'August' from element: ('class name', 'ui-datepicker-month')
2025-06-21 11:47:21,971 - base_page.py:[81] - [INFO] - Retrieved text '2026' from element: ('class name', 'ui-datepicker-year')
2025-06-21 11:47:22,016 - base_page.py:[36] - [INFO] - Successfully clicked element: ('xpath', "//td[@data-handler='selectDay']/a[text()='15']")
2025-06-21 11:47:22,021 - base_page.py:[113] - [INFO] - Element found: ('id', 'datepicker')
2025-06-21 11:47:22,033 - base_test.py:[61] - [INFO] - --- Finished test: test_select_date_with_arrows ---
2025-06-21 11:47:24,344 - conftest.py:[54] - [INFO] - --- Test run finished. ---
